08-100-2060-01-01
2060
89-92	2 2 7 7
93-98	1 7 1 1 1 6
99-105	6 1 4 4 4 4 4
106-112	7 1 1 1 1 1 1
113-118	1 1 1 1 2 3 
119-124	3 1 1 1 2 1
125-130	1 1 2 4 4 1 1 
131-137	3 3 5 3 6 1 1
138-	1
2061
1-5	7 1 1 1 1 
6-12	1 1 1 1 1 1 1 
13-19	1 1 4 1 1 2 4
20-25	3 3 1 1 1 1
26-31	4 4 4 4 3 3 
32-39	5 5 5 5 5 1 1 3 
40-45	1 1 1 3 3 2
46-52	1 1 5 5 2 4 1
53-58	1 1 1 6 1 5
59-65	6 4 3 4 1 4 4
66-72	2 1 1 4 4 2 7
73-78	7 2 5 6 5 5 
79-85 	5 1 2 2 3 6 5
86-91	5 5 4 1 1 3
92-96	5 5 1 1 1
97-103	6 6 6 8 3 1 1 
104-110	1 4 4 1 1 3 1
111-116	4 1 1 5 6 2
117-121	6 1 1 2 2 
122-126	1 1 5 9 1
127-128	1 6

2062
1-3	7 1 9
4-9	9 2 1 7 7 7 
10-14	7 7 7 2 1
15-21	3 3 1 1 1 1 4
22-27	1 1 1 1 4 4
28-34 	4 3 3 3 3 7 1
35-40	1 2 1 1 1 1
41-46	1 4 4 4 8 8
47-52	8 6 9 3 9 6
53-58	3 2 1 4 9 1
59-64	6 4 9 1 1 3
65-70	2 2 2 1 3 7
71-76	1 1 4 4 4 7
77-83	1 8 9 8 9 1 3
84-90	9 1 1 1 1 4 4 

91-97	4 7 1 1 2 2 4
98-104	2 2 5 5 5 3 5
105-110	2 7 7 9 4 9
111-116	4 3 7 2 8 6
117-123	3 1 1 9 2 1 4
124-130	4 4 4 1 1 4 4
131-137	1 1 1 1 6 6 2
138-144	1 1 1 5 4 7 3	
145-150	6 1 1 7 6 4
155-92	7 1 1
 
2063 

1-2	7 6
3-8	1 1 2 2 1
 9-14	7 1 1 1 1 1 
15-20	1 2 2 2 6 6 
21-26	7 7 7 7 7 8 4
27-32	3 1 6 7 7 6
33-38	3 2 6 1 1 2
39-44	2 2 1 4 7 2
45-50	2 2 2 7 7 5
51-57	2 2 2 1 6 2 7
58-63	9 4 1 4 7 7 
64-69 	8 1 3 1 1 1 
70-74	9 9 9 8 9 

08-100-10-2063-01-01

2063
75-78	1 1 1 1
79-86	1 5 5 1 1 1 2 2 
87-94	1 2 1 1 4 6 1 1 
95-101	1 1 1 2 6 6 6 
102-109	7 7 9 9 9 9 9 7 
110-115	2 2 2 7 7 4 
116-122	4 6 3 8 8 9 4
123-129	4 9 5 4 1 1
130-136	1 9 1 1 7 8 5
137-143	5 5 5 5 5 1 5
144-151	6 6 8 6 6 6 6 6 
152-159	6 6 6 7 1 1 1 1
160-167	5 6 6 6 1 1 3 6 
168-174	6 6 9 9 9 9 7
175-181	6 6 6 7 7 5 1
182-188	4 1 4 2 2 4 4 
189-196	2 2 2 2 2 2 2 4
197-203	7 2 1 2 2 4 4
204-210	7 1 6 3 6 2 6 
211-218	1 5 2 9 9 9 9 9 
219-226	6 9 1 9 1 9 7 1
227-234	6 1 1 9 6 9 9 9 
235-240	9 9 9 9 9 9 
241-247	9 1 1 1 1 2 2 
248-255 	2 1 1 1 5 9 2 2 
256-262	4 6 9 2 9 2 8 
263-270	1 8 1 1 1 6 6 7
271-277	9 3 1 9 1 1 1 
278-285	1 1 1 1 1 1 1 1
286-291	6 6 6 9 2 1
292-296	6 1 1 1 1 
 
2064
1-2	7 5
3-10	7 7 4 1 6 1 1 1 
11-17	5 5 5 5 5 5 1 
18-24	1 1 1 7 5 1 1 
25-31	5 3 4 4 6 6 8 
32-37	6 6 6 6 6 1
38-43	7 1 1 3 2 7 
44-50	7 7 6 4 4 4 1 
51-57	9 3 3 1 1 9 1 
58-63	6 1 1 1 2 1 
64-69	1 1 7 9 6 3 
70-75	6 1 1 1 1 1
76-82	4 1 1 6 6 3 6 
83-88	1 1 7 1 1 1 
89-94	2 6 6 1 1 9
95-100	4 9 9 8 8 1
101-106	6 3 1 2 1 7 
107-111	7 2 2 1 4 
2065
1-	5
2-7	4 1 8 6 2 1
8-13	9 6 6 1 1 1 1
14-20	1 9 1 9 1 1 1
21-25	2 6 1 5 1 
26-31	1 1 1 3 7 1 
32-38	6 1 1 1 1 5 1 
39-43	1 1 1 6 1 
44-50	3 3 2 5 5 8 6 
51-57	6 2 2 6 1 7 7 
58-63	4 2 8 9 1 1 
64-69	9 3 3 9 1 1 
70-72	2 2 5


08-100-10-2065-01-01
2065
73-75	1 1 1
77-79 	3 3 2
80-82	6 6 4 
83-86	1 1 1 
87-89	1 1 1 
90-93	1 1 1
94-96	1 1 7
97-100	1 1 8 
101-103	9 9 2
104-106 	2 1 2
107-110	1 8 2 2 
111-113	3 3 4 
114-117	4 1 5 5 
118-120	1 1 6
121-	5

2066
1-2	1 5
3-5	5 5 5 
6-8	7 3 3 
9-12	3 3 3 
13-15	8 6 2
16-18	2 4 6
19-21	1 8 3 
22-25	3 5 5 4 
36-28	2 1 2 
29-31	5 2 2
32-35	7 2 1 1 
36-38	1 1 1 
39-42	1 1 2 6 
43-45	6 1 5 
46-49	6 9 3 4 
50-53	1 2 4 4 
54-57	1 1 9 1 
58-60	6 6 7
61-63	7 7 5 
64-65	1 1
66-68	1 1 1 
69-72	1 5 1 1 
73-75	1 1 1 
76-78	1 1 9 
79-82	1 7 7 2 
83-85	2 1 3 
86-89	2 1 1 3
90-92	1 6 6 
93-96	5 4 6 6 
97-99 	2 3 5 
100-103	7 7 4 6 
104-106	1 3 3 
107-110	5 5 3 6 
111-113	2 1 7 
114-117	7 7 6 2 
118-120	7 2 5 
121-124	3 1 6 6 
125-127	3 7 1 
128-130	1 1 7
131-134	7 2 2 6 
134-137	6 5 4 
138-140	4 1 6 
141-144	6 6 9 8 
145-147	8 1 1 
122-	8


08-100-10-2067-01-01
2067
1-2	3 3 
3-5	1 1 2 
6-8 	2 1 3 
9-11	3 3 5 
12-14	5 5 5 
15-17	7 9 4 
18-20	4 4 6 
21-23	4 3 6 
24-26	7 7 1 
27-29	4 4 4 
30-32	1 4 7 
33-35	7 7 6 
36-38	8 6 6 
39-41	6 5 4 
42-43	7 1 
44-46	1 1 8 
47-49	6 7 1 
50-52	1 7 9 
53-55	2 2 4 
56-58	1 3 4 
59-61	1 3 3 
62-64	9 2 7 
65-67	1 1 1 
68-70	1 2 8 
71-73	5 2 1 
74-76	7 4 8 
77-79	7 7 7 
80-82	7 7 4 
83-85	1 1 5 
86-88	3 8 9 
89-91	5 6 6 
92-94	1 2 1 
95-97 	2 9 1 
98-100	2 2 1 
101-103	3 2 3 
104-106	7 1 1 
107-109	4 2 1 
110-112	1 1 1 
113-115	1 8 5 
116-118	5 1 4 
119-121	4 3 3 
122-123	3 9	
124-126	1 8 4 
127-129	4 1 1 
130-132	3 9 1 
133-135	7 2 1 
136-138	1 4 1 
139-141	1 3 1 
142-144	3 3 6 	

	






